事件日期,公司,事件类型,事件标题,同组事件数,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[-1,+1]","CAR[0,+20]","异常市值影响[0,+20]（亿元）",事件综合评分
2017-06-22,美格智能,其他,关于召开2016年度股东大会的提示性公告,1,13.76043,27.360855,13.600425,0.9883720930232558,0.00666727443457,1.0,4.0,0.5449333333333333,1.2579333333333331,17.309703577999997,129.92299999999997
2019-12-20,锐明技术,管理层/投关信号,调研活动信息20191220,1,57.20544,127.54368,70.33824,1.2295725721190154,0.0756952394307813,1.0,7.0,0.3568671666666667,0.7745709999999999,44.30967486624,89.68743166666665
2017-04-18,广和通,政策/行业,关于签署募集资金三方监管协议的公告,1,14.576,31.576,17.0,1.1663007683863884,0.0093326507992929,1.0,4.0,0.3126666666666666,0.8268666666666666,12.052408533333333,87.36999999999999
2015-05-28,高新兴,资本动作,易方达资产高新兴1号资产管理计划资产管理合同,14,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,81.2435
2015-06-13,高新兴,资本动作,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告的更正公告,1,91.59830784,97.76357856,6.165270719999994,0.0673076923076922,-0.5034965034965035,1.0,2.0,0.354,1.0096999999999998,92.48681142604798,80.29249999999999
2015-05-28,高新兴,其他,关于本次发行股份及支付现金购买资产并募集配套资金履行法定程序的完备性、合规性及提交的法律文件的有效性的说明,21,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,79.84349999999999
2015-04-01,高新兴,其他,募集资金存放与使用情况的鉴证报告,16,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,79.44349999999999
2015-02-28,高新兴,业绩信号,业绩快报 营收=737332000.0 净利润=132958100.0,2,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,79.0435
2015-06-09,高新兴,其他,独立董事关于发行股份及支付现金购买资产并募集配套资金暨关联交易的事前认可意见,9,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,78.7435
2015-04-27,高新兴,业绩信号,略增 预计净利润3800-4300万,3,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,78.64349999999999
2015-04-02,高新兴,业绩信号,略增 预计净利润2000-2500万,2,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,78.0435
2015-05-09,高新兴,资本动作,广东广信君达律师事务所关于公司股权激励计划限制性股票解锁事宜的法律意见书,3,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,77.64349999999999
2015-04-17,高新兴,资本动作,关于控股股东进行质押式回购交易及股权解押的公告,2,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,77.0435
2015-06-09,高新兴,风险事件,发行股份及支付现金购买资产并募集配套资金暨关联交易问询函的回复,2,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,77.0435
2015-03-13,高新兴,其他,公司章程(2015年3月),5,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.84349999999999
2015-06-09,高新兴,资本动作,发行股份及支付现金购买资产并募集配套资金暨关联交易报告书(草案)(修订稿),3,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.64349999999999
2015-04-01,高新兴,业绩信号,2014年年度报告摘要,3,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.64349999999999
2015-04-25,高新兴,客户/订单,关于高州市教育局2014年教育创强信息化装备采购项目预中标的提示性公告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.44349999999999
2015-06-04,高新兴,风险事件,关于对高新兴科技集团股份有限公司的重组问询函,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.44349999999999
2015-03-18,高新兴,风险事件,公司拟编制2014年12月31日合并报表进行减值测试涉及合并讯美电子科技有限公司2014年12月31日会计报表所记载的软件著作权、商誉对应的资产组资产评估报告书,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.44349999999999
2015-05-28,高新兴,风险事件,关于重大资产重组事项的一般风险提示公告,1,62.661903300000006,73.60158902,10.939685719999996,0.1745827232158139,-0.6009408075264602,1.0,2.0,0.1832,1.0077,63.14439995541001,76.44349999999999
