analysis_group_id,event_id,company,ts_code,symbol,event_date,aligned_trade_date,pre_trade_date,source_type,source_types,primary_category,category_tags,title,summary,group_titles_sample,source_url,pdf_url,local_pdf_path,has_pdf,source_count,group_event_count,group_source_count,group_evidence_count,car_status,is_subject_company,is_peer_event,is_pre_listing,is_ipo_listing_related,is_market_trading_related,capital_action_subtype,capital_action_subtype_hits,overlap_event_count_p0_p5,overlap_event_count_p0_p20,overlap_event_count_p0_p60,overlap_category_count_p0_p20,overlap_categories_p0_p20,is_overlap_clean_p0_p5,is_overlap_clean_p0_p20,is_overlap_clean_p0_p60
300590|2017-01-11|其他,863d9aa0b4aab9fc,移为通信,300590.SZ,300590,2017-01-11,2017-01-11,2017-01-11,announcement,announcement,其他,,关于“N移为”盘中临时停牌的公告,,关于“N移为”盘中临时停牌的公告,https://data.eastmoney.com/notices/detail/300590/AN201701110258331381.html,,,0,1,1,1,1,ok,1,0,0,1,True,,,2,4,20,2,其他|政策/行业,False,False,False
300638|2017-04-13|其他,dbf4b7b9f8494e05,广和通,300638.SZ,300638,2017-04-13,2017-04-13,2017-04-13,announcement,announcement,其他,,关于“N广和通”盘中临时停牌的公告,,关于“N广和通”盘中临时停牌的公告,https://data.eastmoney.com/notices/detail/300638/AN201704130501290295.html,,,0,1,1,1,1,ok,0,1,0,1,True,,,3,11,19,3,业绩信号|其他|政策/行业,False,False,False
002970|2019-12-17|风险事件,a4ce3fff4d37671a,锐明技术,002970.SZ,2970,2019-12-17,2019-12-17,2019-12-17,announcement,announcement,风险事件,风险事件,上市首日风险提示公告,,上市首日风险提示公告,https://data.eastmoney.com/notices/detail/002970/AN201912171371884582.html,,,0,1,1,1,1,ok,0,1,0,1,False,,,3,9,14,3,其他|政策/行业|管理层/投关信号,False,False,False
002970|2019-12-17|其他,057be69c38382c16,锐明技术,002970.SZ,2970,2019-12-17,2019-12-17,2019-12-17,announcement,announcement,其他,,关于“N锐明”盘中临时停牌的公告,,关于“N锐明”盘中临时停牌的公告,https://data.eastmoney.com/notices/detail/002970/AN201912171371886752.html,,,0,1,1,1,1,ok,0,1,0,1,True,,,3,9,14,4,其他|政策/行业|管理层/投关信号|风险事件,False,False,False
002881|2017-06-22|风险事件,78b4ebf6bf2cd97e,美格智能,002881.SZ,2881,2017-06-22,2017-06-22,2017-06-22,announcement,announcement,风险事件,风险事件,上市首日风险提示公告,,上市首日风险提示公告,https://data.eastmoney.com/notices/detail/002881/AN201706210660808601.html,,,0,1,1,1,1,ok,0,1,0,1,False,,,3,7,14,2,其他|政策/行业,False,False,False
002881|2017-06-22|其他,1567cf35450e9e83,美格智能,002881.SZ,2881,2017-06-22,2017-06-22,2017-06-22,announcement,announcement,其他,,关于召开2016年度股东大会的提示性公告,,关于召开2016年度股东大会的提示性公告,https://data.eastmoney.com/notices/detail/002881/AN201706210661230116.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,3,7,14,3,其他|政策/行业|风险事件,False,False,False
603236|2019-07-16|其他,ba274def042751b3,移远通信,603236.SH,603236,2019-07-16,2019-07-16,2019-07-16,announcement,announcement,其他,,关于N移远(603236)盘中临时停牌的公告,,关于N移远(603236)盘中临时停牌的公告,https://data.eastmoney.com/notices/detail/603236/AN201907161338730836.html,,,0,1,1,1,1,ok,0,1,0,1,True,,,4,9,20,3,产品/技术创新|其他|资本动作,False,False,False
002970|2019-12-20|管理层/投关信号,7f45b78462711a06,锐明技术,002970.SZ,2970,2019-12-20,2019-12-20,2019-12-19,announcement,announcement,管理层/投关信号,管理层/投关信号,调研活动信息20191220,,调研活动信息20191220,https://data.eastmoney.com/notices/detail/002970/AN201912201372285013.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,2,8,12,3,其他|政策/行业|管理层/投关信号,False,False,False
300638|2017-04-18|政策/行业,531ef293a547acea,广和通,300638.SZ,300638,2017-04-18,2017-04-18,2017-04-17,announcement,announcement,政策/行业,政策/行业,关于签署募集资金三方监管协议的公告,,关于签署募集资金三方监管协议的公告,https://data.eastmoney.com/notices/detail/300638/AN201704170510342307.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,3,11,20,2,业绩信号|其他,False,False,False
300638|2017-04-18|其他,72e9f4b2ed43ca58,广和通,300638.SZ,300638,2017-04-18,2017-04-18,2017-04-17,announcement,announcement,其他,,股票交易异常波动公告(2017/4/18),,股票交易异常波动公告(2017/4/18),https://data.eastmoney.com/notices/detail/300638/AN201704170510342745.html,,,0,1,1,1,1,ok,0,1,0,0,True,,,3,11,20,3,业绩信号|其他|政策/行业,False,False,False
300590|2017-01-13|其他,3395979fac44d1b3,移为通信,300590.SZ,300590,2017-01-13,2017-01-13,2017-01-12,announcement,announcement,其他,,股票交易异常波动公告(2017/1/13),,股票交易异常波动公告(2017/1/13),https://data.eastmoney.com/notices/detail/300590/AN201701130266201527.html,,,0,1,1,1,1,ok,1,0,0,0,True,,,2,5,23,4,产品/技术创新|其他|政策/行业|管理层/投关信号,False,False,False
